title,link
Japan ready to restart dialogue on peace treaty with Russia when possible — envoy,https://tass.com/world/1989461
EU starts discussing 19th package of anti-Russian sanctions — MEP,https://tass.com/world/1989459
Weapons supplied to Kiev by NATO may be used in battle right away — Rutte,https://tass.com/world/1989457
Germany seeks to buy Typhon missile launchers from US — defense minister,https://tass.com/world/1989455
"Germany, US preparing to supply Kiev with two Patriot systems — defense minister",https://tass.com/world/1989451
US to supply Ukraine with surplus weapons — envoy to NATO,https://tass.com/world/1989449
Rubio says Trump prioritizes talks for Ukraine settlement,https://tass.com/world/1989447
US envoy to NATO expects Putin to respond to Trump's statements,https://tass.com/world/1989445
Japan would welcome Putin-Trump meeting — envoy to Russia,https://tass.com/world/1989443
Zelensky says Trump in a phone call told him about meeting with NATO’S Rutte,https://tass.com/world/1989441
SBU fears leaks of military sites geolocation by ex-president’s supporters,https://tass.com/world/1989433
Former Austrian minister likens Pistorius to Goebbels,https://tass.com/world/1989431
Zelensky announces plans to appoint PM Shmygal Ukraine’s defense minister,https://tass.com/world/1989417
US to supply $10 billion worth of weapons for Ukraine under deal with NATO — Axios,https://tass.com/world/1989413
"Trump talks about weapons for Ukraine, new sanctions: Here’s what we know",https://tass.com/world/1989409
Washington to push Ukraine toward peace deal with Russia — Trump,https://tass.com/world/1989407
Europe determined to continue supporting military actions in Ukraine — Trump,https://tass.com/world/1989405
Israel attacks Syrian security forces near Suwayda city — TV,https://tass.com/world/1989403
"US to deliver large amounts of weapons to Kiev, Europe to pay for it — Trump",https://tass.com/world/1989395
Trump admits that US paused weapons supplies to Ukraine,https://tass.com/world/1989391
Trump calls Putin 'tough guy',https://tass.com/world/1989379
Trump says US wants 'everlasting' peace in Ukraine,https://tass.com/world/1989377
"500% tariffs on Russia, trade partners not making sense — Trump",https://tass.com/world/1989375
Slovakia’s interests take priority when voting on new sanctions — minister,https://tass.com/world/1989353
Ukrainian cabinet changes to be announced on July 16 — lawmaker,https://tass.com/world/1989351
"Possible additional US aid to Ukraine will be insignificant, analyst says",https://tass.com/politics/1989345
Trump announced deal with NATO on weapons supplies to Ukraine,https://tass.com/world/1989343
"US to hit Russia, its trade partners with tariffs if no deal on Ukraine — Trump",https://tass.com/world/1989341
Sales of US weapons to NATO profitable for Trump’s sponsors — Russian MP,https://tass.com/politics/1989325
US weapons supplies to Ukraine won’t prevent Russian forces from reaching goals — lawmaker,https://tass.com/politics/1989315
Trump wants to supply Kiev with arms promised by Biden at Europe’s expense — expert,https://tass.com/world/1989309
Trump seeking to distance himself from Kiev’s problems — Russian expert,https://tass.com/politics/1989305
Analyst sees Trump’s new Ukraine plan as way to put pressure on Russia in settlement talks,https://tass.com/world/1989303
Seventy-one wildfires active in Russia — Ministry of Emergencies,https://tass.com/emergencies/1989299
Moldovan opposition calls for creating union state with Russia — politician,https://tass.com/world/1989295
US may freeze military aid to Kiev again due being 'overstretched' globally — newspaper,https://tass.com/world/1989289
Trump mulls delivering JASSM long-range missiles to Kiev — magazine,https://tass.com/world/1989283
"No new US weapons supplies can stave off Zelensky’s defeat, Russian lawmaker insists",https://tass.com/politics/1989279
IDF reports striking 'number of tanks' in southern Syria,https://tass.com/world/1989277
Zelensky nominates Yulia Sviridenko for Ukraine’s prime minister,https://tass.com/world/1989273
"Iran continues to cooperate with Russia, China in resolving its nuclear stand-off — MFA",https://tass.com/world/1989255
"Death toll from Israeli strikes on Iran rises to 1,062",https://tass.com/world/1989249
Zelensky says discussed weapons purchases with visiting US envoy,https://tass.com/world/1989247
Hungary refuses to fund US weapons deliveries to Ukraine — foreign minister,https://tass.com/world/1989239
"Israeli strikes on Iran kill 167 women, children — Red Crescent",https://tass.com/world/1989233
Proposed by Israel 'humanitarian city' in Gaza would be concentration camp — former PM,https://tass.com/world/1989229
Tehran to respond to Eurotroika’s initiative on renewing sanctions against Iran,https://tass.com/world/1989223
Iranian Foreign Ministry says no agreements reached on resuming talks with US,https://tass.com/world/1989161
At least 95 Palestinians dead in Israeli strikes on Gaza over past 24 hours — TV,https://tass.com/world/1989147
Zelensky submits bills to Ukrainian parliament on extending martial law for three months,https://tass.com/world/1989129
